Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""2000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.000.000 TL</strong>",17 Aralık 2024,135,140m²,3+1,2,4,1,6-10 arası,,Kombi (Doğalgaz),,70  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",17 Aralık 2024,120,130m²,10 ve üzeri,1,3,Yüksek Giriş,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",17 Aralık 2024,125,135m²,3+1,2,8,Raised First Floor,Between 6-10,,Combi Boiler (Natural Gas),,750  TL  (aylık),Vacant,Yes,,,,,,,,,Ankara
"<strong content=""28000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">28.000.000 TL</strong>",17 Aralık 2024,350,380m²,6+1,2,3,,Between 31-35,,Combi Boiler (Natural Gas),,,,Yes,,,,,,,,,Ankara
"<strong content=""1700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.700.000 TL</strong>",17 Aralık 2024,125,135m²,3+1,1,4,4,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.750.000 TL</strong>",16 Aralık 2024,140,155m²,3+1,1,4,3,16-20 arası,Sıfır,Kombi (Doğalgaz),50.000  TL  (aylık),250  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""21500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">21.500.000 TL</strong>",16 Aralık 2024,224,261m²,4+1,3,20 ve üzeri,13,0,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,26054,,Ankara
"<strong content=""5000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.000.000 TL</strong>",16 Aralık 2024,120,135m²,3+1,1,5,3,36-40 arası,İkinci El,Merkezi Sistem,25.000  TL  (aylık),2.550  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.200.000 TL</strong>",17 Aralık 2024,95,110m²,3+1,1,4,Giriş Katı,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""9950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.950.000 TL</strong>",16 Aralık 2024,180,200m²,4+1,1,10-20 arası,12,31-35 arası,İkinci El,Merkezi Sistem,,3.000  TL  (aylık),Mülk Sahibi,Evet,,,,,,4,7488,,Ankara
"<strong content=""5450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.450.000 TL</strong>",16 Aralık 2024,168,174m²,4+1,2,10-20 arası,12,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),35.000  TL  (aylık),1  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""1350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.350.000 TL</strong>",16 Aralık 2024,85,90m²,2+1,1,3,Kot 2,16-20 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),150  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.750.000 TL</strong>",17 Aralık 2024,280,300m²,4+1,2,7,Giriş Katı,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2299000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.299.000 TL</strong>",16 Aralık 2024,110,130m²,3+1,1,3,Yüksek Giriş,11-15 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Ters Dubleks,Ankara
"<strong content=""2670000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.670.000 TL</strong>",16 Aralık 2024,85,94m²,2+1,1,8,11,11-15 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),15.000  TL  (aylık),750  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Ankara
"<strong content=""4700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.700.000 TL</strong>",16 Aralık 2024,85,95m²,2+1,1,3,1,,Sıfır,Kombi (Doğalgaz),35.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.300.000 TL</strong>",16 Aralık 2024,85,100m²,2+1,1,5,Giriş Katı,,Sıfır,Merkezi Sistem (Isı Payı Ölçer),12.000  TL  (aylık),1.000  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.900.000 TL</strong>",16 Aralık 2024,110,120m²,3+1,2,3,1,26-30 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.990.000 TL</strong>",16 Aralık 2024,140,150m²,3+1,2,10,3,11-15 arası,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),1  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3550000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.550.000 TL</strong>",16 Aralık 2024,110,120m²,3+1,1,3,2,21-25 arası,İkinci El,Kombi (Doğalgaz),25.000  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.850.000 TL</strong>",16 Aralık 2024,,,,,4,4,16-20 arası,,Kombi (Doğalgaz),40.000  TL  (aylık),650  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""5250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.250.000 TL</strong>",16 Aralık 2024,110,120m²,3+1,1,3,1,40 ve üzeri,İkinci El,Merkezi Sistem,25.000  TL  (aylık),1.200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",18 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""3600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.600.000 TL</strong>",16 Aralık 2024,135,145m²,3+1,2,7,3,,Yapım Aşamasında,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.450.000 TL</strong>",16 Aralık 2024,130,150m²,3+1,1,2,Raised First Floor,Between 6-10,Second Hand,Combi Boiler (Natural Gas),1  TL  (aylık),,Occupied By Property Owner,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""28000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">28.000.000 TL</strong>",18 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
