Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""15500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">15.500.000 TL</strong>",11 Aralık 2024,171,192m²,4+1,2,20 ve üzeri,1,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,2.200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""399000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">399.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Evet,Müstakil Parsel,,,Müstakil Parsel,,,,,Ankara
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""6585000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.585.000 TL</strong>",11 Aralık 2024,190,230m²,4+1,1,20 ve üzeri,20 ve üzeri,4,İkinci El,Merkezi Sistem,30.000  TL  (aylık),,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""3445000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.445.000 TL</strong>",11 Aralık 2024,120,130m²,3+1,1,3,Kot 1,21-25 arası,İkinci El,Kombi (Doğalgaz),19.000  TL  (aylık),250  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""3050000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.050.000 TL</strong>",11 Aralık 2024,100,110m²,2+1,1,2,Giriş Katı,21-25 arası,,Kombi (Doğalgaz),,100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.100.000 TL</strong>",11 Aralık 2024,85,90m²,3+1,1,2,Giriş Katı,21-25 arası,,Kombi (Doğalgaz),,150  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""46500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">46.500.000 TL</strong>",11 Aralık 2024,800,850m²,,,4,,2,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",11 Aralık 2024,85,100m²,2+1,1,3,3,31-35 arası,,Kombi (Doğalgaz),,250  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""4500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.500.000 TL</strong>",11 Aralık 2024,115,125m²,3+1,1,8,1,21-25 arası,,Merkezi Sistem,28.000  TL  (aylık),1.750  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.150.000 TL</strong>",11 Aralık 2024,90,102m²,2+1,2,10-20 arası,3,,,Yerden Isıtma,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""3400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.400.000 TL</strong>",11 Aralık 2024,85,94m²,2+1,2,10-20 arası,2,,,Yerden Isıtma,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""4800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.800.000 TL</strong>",11 Aralık 2024,100,110m²,2+1,2,3,3,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""7700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.700.000 TL</strong>",10 Aralık 2024,200,210m²,4+1,2,3,Müstakil,21-25 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,15015,Dubleks,Ankara
"<strong content=""5350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.350.000 TL</strong>",10 Aralık 2024,140,150m²,3+1,2,4,Yüksek Giriş,21-25 arası,,Merkezi Sistem,,2  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2995000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.995.000 TL</strong>",11 Aralık 2024,150,160m²,3+1,2,6,3,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""1625000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.625.000 TL</strong>",11 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,3,62999,,Ankara
"<strong content=""9900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.900.000 TL</strong>",10 Aralık 2024,150,170m²,3+1,1,6,6,36-40 arası,İkinci El,Merkezi Sistem,45.000  TL  (aylık),2.200  TL  (aylık),Mülk Sahibi,Evet,,,,,,80,2515,Tek Kat,Ankara
"<strong content=""8650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.650.000 TL</strong>",10 Aralık 2024,,,,,4,4,16-20 arası,,Kombi (Doğalgaz),50.000  TL  (aylık),170  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""18750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.750.000 TL</strong>",10 Aralık 2024,650,,,,9,Giriş Katı,6-10 arası,,Merkezi Sistem (Isı Payı Ölçer),70.000  TL  (aylık),,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""4490000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.490.000 TL</strong>",10 Aralık 2024,165,182m²,4+1,1,8,1,4,İkinci El,Merkezi Sistem,,1.000  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.400.000 TL</strong>",10 Aralık 2024,,,,,3,1,26-30 arası,,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""17000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">17.000.000 TL</strong>",10 Aralık 2024,290,345m²,4+1,3,3,,,Sıfır,Yerden Isıtma,,,Boş,Evet,,,,,,,,Tripleks,Ankara
"<strong content=""3400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.400.000 TL</strong>",10 Aralık 2024,90,100m²,2+1,1,3,1,26-30 arası,,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.700.000 TL</strong>",10 Aralık 2024,200,210m²,4+1,2,3,Müstakil,21-25 arası,İkinci El,Kombi (Doğalgaz),50.000  TL  (aylık),400  TL  (aylık),Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""19000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">19.000.000 TL</strong>",10 Aralık 2024,,,,,1,,16-20 arası,İkinci El,Kombi (Doğalgaz),,,,Hayır,,,,,,,,,Ankara
"<strong content=""12500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.500.000 TL</strong>",10 Aralık 2024,,,,,1,,6-10 arası,İkinci El,Kombi (Doğalgaz),,,,Hayır,,,,,,,,,Ankara
"<strong content=""6585000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.585.000 TL</strong>",10 Aralık 2024,200,220m²,4+1,2,20 ve üzeri,20 ve üzeri,3,İkinci El,Merkezi Sistem,30.000  TL  (aylık),1  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""6585000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.585.000 TL</strong>",10 Aralık 2024,190,230m²,4+1,2,20 ve üzeri,20 ve üzeri,4,İkinci El,Merkezi Sistem,30.000  TL  (aylık),,,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.150.000 TL</strong>",10 Aralık 2024,120,,,,,Zemin Kat,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""6585000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.585.000 TL</strong>",10 Aralık 2024,195,215m²,4+1,2,20 ve üzeri,20 ve üzeri,3,,Merkezi Sistem (Isı Payı Ölçer),,,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2330000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.330.000 TL</strong>",10 Aralık 2024,80,90m²,2+1,1,10-20 arası,5,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),17.000  TL  (aylık),670  TL  (aylık),Mülk Sahibi,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""3000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.000.000 TL</strong>",10 Aralık 2024,203,223m²,5+1,2,5,4,11-15 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),150  TL  (aylık),Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""5750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.750.000 TL</strong>",10 Aralık 2024,140,150m²,3+1,2,4,1,11-15 arası,Sıfır,Kombi (Doğalgaz),40.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.650.000 TL</strong>",10 Aralık 2024,130,140m²,3+1,2,4,Yüksek Giriş,16-20 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.650.000 TL</strong>",10 Aralık 2024,90,100m²,2+1,1,3,3,26-30 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",10 Aralık 2024,150,195m²,3+1,2,5,1,11-15 arası,,Kombi (Doğalgaz),,1.000  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.600.000 TL</strong>",10 Aralık 2024,115,125m²,3+1,1,4,3,26-30 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),240  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.950.000 TL</strong>",10 Aralık 2024,160,175m²,4+1,2,3,3,21-25 arası,İkinci El,Kombi (Doğalgaz),,1.500  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.000.000 TL</strong>",10 Aralık 2024,145,180m²,4+1,1,3,3,11-15 arası,İkinci El,Kombi (Doğalgaz),25.000  TL  (aylık),200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""2475000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.475.000 TL</strong>",10 Aralık 2024,80,90m²,3+1,1,3,Kot 1,26-30 arası,Sıfır,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""2450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.450.000 TL</strong>",10 Aralık 2024,90,100m²,2+1,1,3,Kot 2,26-30 arası,Sıfır,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""1400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.400.000 TL</strong>",10 Aralık 2024,,,,,10-20 arası,,31-35 arası,İkinci El,Merkezi Sistem,,,,Evet,,,,,,,,,Ankara
"<strong content=""18750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.750.000 TL</strong>",10 Aralık 2024,650,,,,9,Giriş Katı,6-10 arası,,Merkezi Sistem (Isı Payı Ölçer),0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,,Ankara
"<strong content=""9350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.350.000 TL</strong>",10 Aralık 2024,,,,,3,1,11-15 arası,,Kombi (Doğalgaz),40.000  TL  (aylık),1.000  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.350.000 TL</strong>",10 Aralık 2024,90,,,,3,Giriş Katı,16-20 arası,,Kombi (Doğalgaz),20.000  TL  (aylık),,Boş,Evet,,,,,,,,,Ankara
"<strong content=""445000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">445.000 TL</strong>",10 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,Danışman,,,,Ankara
"<strong content=""20650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">20.650.000 TL</strong>",10 Aralık 2024,216,255m²,4+1,2,20 ve üzeri,1,,Sıfır,Yok,,,Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Ankara
"<strong content=""2000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.000.000 TL</strong>",10 Aralık 2024,185,206m²,3+1,1,4,2,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2020000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.020.000 TL</strong>",10 Aralık 2024,120,130m²,3+1,1,4,1,6-10 arası,İkinci El,Kombi (Doğalgaz),1  TL  (aylık),1  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""1150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.150.000 TL</strong>",10 Aralık 2024,,,,,10-20 arası,,31-35 arası,,Merkezi Sistem,15.000  TL  (aylık),600  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""1100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.100.000 TL</strong>",10 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""2450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.450.000 TL</strong>",9 Aralık 2024,123,135m²,3+1,1,3,Yüksek Giriş,16-20 arası,İkinci El,Kombi (Doğalgaz),18.000  TL  (aylık),1  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",9 Aralık 2024,114,137m²,2+1,1,3,3,11-15 arası,İkinci El,Kombi (Doğalgaz),,150  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4480000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.480.000 TL</strong>",9 Aralık 2024,60,65m²,1+1,1,4,Bahçe katı,,Sıfır,Kombi (Doğalgaz),,300  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""4490000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.490.000 TL</strong>",9 Aralık 2024,60,65m²,1+1,1,4,Bahçe katı,,Sıfır,Kombi (Doğalgaz),,300  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""3200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.200.000 TL</strong>",9 Aralık 2024,120,125m²,3+1,1,4,1,11-15 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2995000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.995.000 TL</strong>",10 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,20,1748,,Ankara
"<strong content=""2790000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.790.000 TL</strong>",9 Aralık 2024,100,110m²,3+1,1,3,3,26-30 arası,İkinci El,Kombi (Doğalgaz),17.500  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""1800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.800.000 TL</strong>",9 Aralık 2024,70,75m²,2+1,1,3,Kot 1,11-15 arası,İkinci El,Kombi (Doğalgaz),12.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2050000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.050.000 TL</strong>",9 Aralık 2024,65,75m²,2+1,1,4,Kot 1,26-30 arası,İkinci El,Kombi (Doğalgaz),17.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""1995000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.995.000 TL</strong>",11 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""2950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.950.000 TL</strong>",9 Aralık 2024,35,48m²,1+1,1,10-20 arası,2,0,Sıfır,Merkezi Sistem,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,.,,Ankara
"<strong content=""2340000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.340.000 TL</strong>",9 Aralık 2024,119,129m²,3+1,1,3,Kot 1,21-25 arası,İkinci El,Kombi (Doğalgaz),16.500  TL  (aylık),1  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",9 Aralık 2024,168,179m²,3+1,2,10-20 arası,6,,İkinci El,Merkezi Sistem,40.000  TL  (aylık),1  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.200.000 TL</strong>",9 Aralık 2024,245,255m²,4+2,2,3,3,6-10 arası,İkinci El,Kombi (Doğalgaz),38.000  TL  (aylık),1  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3435000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.435.000 TL</strong>",9 Aralık 2024,110,125m²,3+1,1,6,1,6-10 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),,,Evet,,,,,,13,45852,Tek Kat,Ankara
"<strong content=""6300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.300.000 TL</strong>",9 Aralık 2024,90,110m²,2+1,1,10-20 arası,3,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.750.000 TL</strong>",9 Aralık 2024,115,125m²,3+1,2,10,7,6-10 arası,İkinci El,Kombi (Doğalgaz),,300  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""5250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.250.000 TL</strong>",9 Aralık 2024,110,125m²,3+1,1,3,1,Between 26-30,Second Hand,Central System,30.000  TL  (aylık),1.500  TL  (aylık),Vacant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""16500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">16.500.000 TL</strong>",9 Aralık 2024,,,,,2,En Üst Kat,11-15 arası,,Kombi (Doğalgaz),50.000  TL  (aylık),,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""9250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.250.000 TL</strong>",9 Aralık 2024,200,220m²,4+1,4,1,,,Sıfır,Kat Kaloriferi,,,Boş,Evet,,,,,,,,Tripleks,Ankara
"<strong content=""1900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.900.000 TL</strong>",9 Aralık 2024,140,155m²,3+1,1,5,Giriş Katı,11-15 arası,İkinci El,Kombi (Doğalgaz),,50  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""2999000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.999.000 TL</strong>",10 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""3300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.300.000 TL</strong>",9 Aralık 2024,150,180m²,3+1,1,10-20 arası,En Üst Kat,,Sıfır,Kat Kaloriferi,,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""18500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.500.000 TL</strong>",8 Aralık 2024,210,250m²,4+1,2,20 ve üzeri,19,3,,Yerden Isıtma,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""8000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.000.000 TL</strong>",8 Aralık 2024,145,160m²,3+1,2,4,2,21-25 arası,,Kombi (Doğalgaz),,150  TL  (aylık),Boş,Hayır,,,,,,,,,Ankara
"<strong content=""1900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.900.000 TL</strong>",8 Aralık 2024,75,80m²,2+1,1,5,Yüksek Giriş,21-25 arası,,Kombi (Doğalgaz),,200  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""2100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.100.000 TL</strong>",8 Aralık 2024,85,98m²,2+1,1,2,2,21-25 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.000.000 TL</strong>",8 Aralık 2024,100,110m²,3+1,1,3,Yüksek Giriş,16-20 arası,,Kombi (Doğalgaz),,200  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""4100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.100.000 TL</strong>",8 Aralık 2024,140,150m²,4+1,2,3,Kot 1,11-15 arası,,Kombi (Doğalgaz),,300  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""40000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">40.000.000 TL</strong>",8 Aralık 2024,400,450m²,8+2,6 ve üzeri,4,Bahçe katı,5,,Kombi (Doğalgaz),,,Mülk Sahibi,Hayır,,,,,,,,,Ankara
"<strong content=""11500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.500.000 TL</strong>",8 Aralık 2024,250,350m²,5+1,3,3,Bahçe katı,16-20 arası,,Kombi (Doğalgaz),,1  TL  (aylık),Kiracılı,Hayır,,,,,,,,,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",8 Aralık 2024,75,95m²,3+1,1,4,4,,,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",8 Aralık 2024,300,310m²,5+1,2,10-20 arası,13,5,,Merkezi Sistem,,3  TL  (aylık),Boş,Hayır,,,,,,,,,Ankara
"<strong content=""2899000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.899.000 TL</strong>",8 Aralık 2024,120,125m²,3+1,1,5,3,Between 6-10,Second Hand,Combi Boiler (Natural Gas),,,Vacant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""2225000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.225.000 TL</strong>",8 Aralık 2024,120,130m²,3+1,1,3,Yüksek Giriş,16-20 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""18000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.000.000 TL</strong>",9 Aralık 2024,270,300m²,5+2,3,8,8,26-30 arası,,Merkezi Sistem,,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""4890000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.890.000 TL</strong>",8 Aralık 2024,120,130m²,3+1,1,3,Yüksek Giriş,26-30 arası,İkinci El,Merkezi Sistem,,,Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.000.000 TL</strong>",8 Aralık 2024,170,190m²,5+1,2,4,4,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""4100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.100.000 TL</strong>",8 Aralık 2024,180,220m²,5+1,2,5,En Üst Kat,6-10 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),300  TL  (aylık),Boş,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""2595000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.595.000 TL</strong>",8 Aralık 2024,95,105m²,3+1,1,3,Yüksek Giriş,16-20 arası,İkinci El,Kombi (Doğalgaz),18.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6585000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.585.000 TL</strong>",8 Aralık 2024,185,200m²,4+1,2,20 ve üzeri,20 ve üzeri,2,İkinci El,Merkezi Sistem,45.000  TL  (aylık),1.700  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.100.000 TL</strong>",8 Aralık 2024,130,145m²,3+1,1,3,2,Between 16-20,Second Hand,Combi Boiler (Natural Gas),20.000  TL  (aylık),100  TL  (aylık),Occupied By Tenant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""6100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.100.000 TL</strong>",8 Aralık 2024,,,,,4,4,,,Combi Boiler (Natural Gas),30.000  TL  (aylık),,Vacant,Yes,,,,,,,,,Ankara
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",8 Aralık 2024,,,,,,8,26-30 arası,,Merkezi Sistem,,3.000  TL  (aylık),,Evet,,,,,,,,,Ankara
"<strong content=""3450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.450.000 TL</strong>",8 Aralık 2024,45,50m²,1+1,1,3,Yüksek Giriş,,Sıfır,Yerden Isıtma,30.000  TL  (aylık),500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
